x,y
3.495955514371024364e+00,7.162012456857576481e+00
6.205534914434990945e+00,4.169089018358323351e+00
-7.492261054722093583e+00,-7.048896014919463493e-01
-7.439510847988088926e+00,3.020994180426009645e+00
4.688068798693821648e+00,7.264035279962212321e+00
6.239340410890195976e+00,6.114289933135520272e+00
7.142154684881413473e+00,-3.184875820365762333e+00
7.394684011223167985e+00,-2.693830796624419488e+00
7.582262868184091786e+00,7.867419575663809894e-01
7.534467897064956787e+00,-1.851666280705124068e+00
-6.173780229864754610e+00,5.053286124047682293e+00
-7.075745780863861967e+00,-4.201429164652775050e+00
-6.275769494730786491e+00,-3.392451374032249500e+00
6.549844905831791131e+00,5.008748602159950103e+00
7.902009284234642550e+00,4.263725277820791248e+00
-7.219238002655155917e+00,-1.747788669810577789e+00
-7.945131079673530827e+00,-3.392627604054527346e+00
5.248124260273681507e+00,5.407257719286393538e+00
1.148356294243884079e+00,-7.741688865099090933e+00
-8.163351727897509846e+00,1.931677158635470848e-01
-2.093475815055176881e+00,7.953556721075409897e+00
5.154639555289386443e+00,-6.146932632916000117e+00
2.108445302400813737e-01,-8.190229707049265784e+00
7.539800395285383594e+00,3.831923301145089944e+00
1.948425992342904145e+00,8.157308735197986493e+00
-3.361672235726557822e+00,-7.855299141031011345e+00
2.523569565280041616e+00,-7.595520659188550461e+00
-2.996851095841335244e+00,-6.811686115924833196e+00
-1.541797484198009105e+00,7.455633383817092508e+00
7.569631049085589147e+00,5.434954490673384875e+00
7.494149165713102079e+00,4.601055908539806616e+00
-7.426486623737612369e+00,2.638714164155698150e+00
6.186081900259894795e+00,-5.013855859072057441e+00
-8.309281617594409752e+00,-2.446924741096165867e+00
7.513120339354601995e-01,-8.257013924187683429e+00
6.837532061392092686e+00,3.534214633342876333e+00
7.945894539070892826e+00,-1.683903742818082305e+00
-1.606563359716004946e+00,-8.093503494010274579e+00
-7.368314193741434259e+00,2.198879984303852897e+00
-7.600929562601322909e-01,-7.504194337475850851e+00
2.346877850363357165e+00,7.002900514565361334e+00
1.128038932803994809e+00,8.174276605069204393e+00
7.738776765261678570e+00,3.345885669607001844e+00
-6.870172821922384543e+00,-4.499450638343188480e+00
-7.873891476435469272e+00,-2.629302385754206828e+00
4.885357926988001864e+00,-6.368450807145583425e+00
-7.527519512087408771e+00,2.531980124600613724e+00
-3.633158745578508597e-01,8.251117706951310637e+00
