x,y
8.536630772586768501e+00,1.269594895109060317e+01
5.908156745328785320e+00,1.196822005517294585e+01
1.827555020467768632e+00,1.197804047482561174e+01
1.229631601913421690e+01,7.997002964501083611e+00
1.265557736150414669e+01,5.971752956318339578e+00
-2.722276616417819817e+00,2.927516595898877139e+00
1.110745242080156103e+01,9.864994231551424519e+00
3.906423487176184928e+00,1.272741569540259832e+01
5.958943203517996778e-02,1.124058485302775878e+01
1.322392171431102881e+01,3.200489781976817216e+00
5.368461031200478573e+00,1.226506903291908657e+01
-2.403621054287709669e+00,7.426383018909817224e+00
8.700096776184079062e+00,-1.711929986688079275e+00
1.303956924274918983e+01,2.802810688612441758e+00
1.129160591987359297e-01,1.142621725562214863e+01
1.263605038243286494e+01,8.789572329610606971e+00
5.133981266562788193e-01,1.161090917415992507e+01
9.625926430230016706e+00,-1.638140079337886412e+00
-2.210450939343082233e+00,8.285025550945444905e+00
-2.762688898027277240e+00,6.344152479683156542e+00
1.028157356967696945e+00,1.207757924691213347e+01
5.089628645011204711e+00,-2.876607403822558418e+00
1.141306192903929428e+01,5.713099519320881114e-01
1.124584455960489215e+01,1.126039215721005249e+01
4.572839669631431292e+00,-3.607674079561490998e+00
-2.426230151587644102e+00,1.195880960424466899e+00
-1.278834076597107128e+00,9.924263975549409977e+00
1.121446049162670988e+01,1.131555848474386039e+01
-1.543515562002292008e+00,9.627018370046243945e+00
-1.765632244580626953e+00,9.404876428958369061e+00
1.261143067730056444e+01,7.306805035457067277e+00
1.296241861960773889e+01,4.846265166611759767e+00
8.079079535312988725e+00,1.161466415244978556e+01
-2.332294456465344723e-02,1.120301135123058955e+01
1.007268287960928710e+01,1.032948876351096246e+01
5.289115254322775961e+00,1.281418581682324742e+01
1.258940168405596793e+01,1.843024283096567295e+00
6.912555475020804252e+00,-2.941359348908781257e+00
9.560568444599841342e+00,-1.684066103094998823e+00
1.209167756032641705e+01,9.718640053617617625e-01
8.550151482221526322e-01,1.180454297412660303e+01
2.483851019453380271e+00,-1.702918300561185205e+00
1.468411244876328681e-01,1.126088935090888654e+01
6.508700757753691946e+00,-2.781655736322039552e+00
1.254879807716484130e+01,2.088665181970827511e+00
7.325486256557852016e+00,-2.833178656159466513e+00
8.722922723321929084e+00,1.235824253371544756e+01
1.303479316915986175e+00,-1.630712848935351289e+00
